latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,bedrooms,beds,baths,month,neighborhood_avgprice,last_review_month,last_review_year,neighgroup_Bronx,neighgroup_Brooklyn,neighgroup_Manhattan,neighgroup_Queens,neighgroup_Staten Island,roomtype_Entire home/apt,roomtype_Hotel room,roomtype_Private room,roomtype_Shared room,license_Exempt,license_Has License,license_No License,ratings_3.0,ratings_4.0,ratings_4.2,ratings_4.4,ratings_4.6,ratings_4.8,ratings_5,ratings_New,ratings_No rating,ratings_less3
40.707258,-73.93397209999999,220.0,1,3,0.94,35,0,3,1,1,1.0,12,185.0,12,2023,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
40.85615,-73.9152,55.0,30,2,0.06,1,0,0,1,1,1.0,3,87.0,3,2021,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.75972,-73.81527,69.0,30,28,1.54,6,55,12,1,1,1.0,12,110.0,12,2023,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
40.75408,-73.97071,188.0,30,155,1.04,1,91,6,1,1,1.0,12,288.0,12,2023,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40.76366,-73.86133,99.0,30,6,0.18,6,0,0,1,1,1.0,2,141.0,2,2022,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
40.73626,-73.95634,180.0,30,11,0.12,1,3,1,2,1,1.0,4,240.0,4,2023,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
40.75282,-73.97315,125.0,365,19,0.13,1,0,0,1,1,1.0,9,288.0,9,2015,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
40.84387,-73.94179,85.0,30,10,0.11,1,0,0,1,1,1.5,1,127.0,1,2020,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
40.69257,-73.96887,75.0,30,9,0.11,1,0,0,1,1,1.0,8,199.0,8,2019,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
40.70349,-73.90875,100.0,30,1,0.03,1,0,0,1,1,1.0,4,128.0,4,2021,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.68693,-73.87378,38.0,30,4,0.12,7,285,2,1,1,1.0,9,100.0,9,2023,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
40.75713694266302,-73.81348864217891,121.0,30,3,0.39,3,364,3,0,3,1.0,6,110.0,6,2023,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40.52339,-74.20517,118.0,30,3,0.15,1,179,0,1,3,1.0,6,113.0,6,2022,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
40.63866,-73.9715,109.0,30,3,0.03,1,0,1,3,5,3.0,9,170.0,9,2023,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40.62866,-74.14578,75.0,30,35,1.43,2,339,14,1,2,1.0,10,77.0,10,2023,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40.72154,-73.98174,450.0,30,54,0.42,1,355,2,2,1,2.0,11,244.0,11,2023,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
40.76299,-73.92416,90.0,30,3,0.02,1,279,0,1,1,1.0,9,112.0,9,2013,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
40.75869,-73.80992,98.0,30,12,0.12,3,268,0,1,1,1.0,10,110.0,10,2021,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40.8159,-73.86486,114.0,30,15,0.2,2,177,0,2,1,1.0,10,108.0,10,2019,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
40.70824,-73.94681,120.0,30,18,0.16,1,0,0,1,1,1.0,1,185.0,1,2021,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
40.68401,-73.95626,170.0,30,298,2.64,2,12,37,2,2,1.0,11,266.0,11,2023,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40.6023553,-73.9902915,100.0,30,19,2.22,1,180,19,1,2,1.0,10,117.0,10,2023,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
40.74726,-73.94574,168.0,30,1,0.04,1,9,0,1,1,1.0,10,199.0,10,2021,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.7338,-73.98532,80.0,30,8,0.27,30,17,2,0,1,1.0,8,196.0,8,2023,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
40.72623,-73.94128,135.0,30,21,0.19,18,249,2,0,2,1.0,11,240.0,11,2023,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
40.64546,-73.9429,100.0,30,50,3.75,1,83,44,1,1,1.0,12,125.0,12,2023,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40.80303,-73.93888,49.0,30,83,0.74,2,0,0,3,1,1.5,3,145.0,3,2020,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40.633670359069306,-73.97068361550586,120.0,30,23,3.45,1,100,23,2,3,1.0,12,170.0,12,2023,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
40.85373,-73.93614,65.0,30,1,0.03,2,0,0,1,1,1.0,8,127.0,8,2021,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.64557,-74.08443,160.0,30,48,1.49,3,364,10,2,4,1.0,9,121.0,9,2023,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
40.68574,-73.99055,140.0,30,1,0.01,1,0,0,2,2,1.0,7,224.0,7,2015,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40.66923,-73.98134,99.0,30,99,0.97,1,0,0,1,1,1.0,9,254.0,9,2017,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
